MM FASHION LTD.,,,,,,,,, Cash On Hand 
 Cash Book ,,,,,,,,, -   
Credit/Inward,,,,Debit/Outward,,,,,
Date,Catagories,Pariculars, Amount Tk. ,Date,Catagories,Supplier,Buyer,Particulars, Amount Tk. 
,,,,15-03-25,Convence,,,Modina up down Bablu 2 days, 950 
,,,,15-03-25,Convence,,,ashraful: mirpur up down for pocketing, 760 
,,,,15-03-25,Fabric- Purchase,, Urbo,molecule: pocketing fabric," 78,000 "
16-03-2025,Loan A/C Chairman,," 38,325 ",16-03-25,Convence,,,"ADL,Wearvibes, sample purpose 10 mar-15 mar"," 2,170 "
,,,,16-03-25,Convence,,,mm QC to modina 2 day, 400 
,,,,16-03-25,Convence,,,Adl sample purpose, 200 
,,,,16-03-25,Carriage Bill,,,loader bill: fabric unload, 610 
,,,,16-03-25,Electric Bill,,,SEBL Meter:41159598," 15,000 "
,,,,16-03-25,Accessories Bill,,K.Tex,metal zipper sample devlopment, 300 
,,,,16-03-25,Accessories Bill,,Wear Vibes,elastic," 10,200 "
,,,,16-03-25,Machine spare parts,,,"needle , guid"," 2,615 "
,,,,16-03-25,Factory Maintance,,,Iron," 2,800 "
,,,,16-03-25,Convence,,,mostofa mirpur up down, 530 
,,,,16-03-25,Tiffin Bill,,,sample section 16mar, 400 
,,,,16-03-25,Carriage Bill,,,loader bill for loading goods for modina garment, 100 
,,,,16-03-25,Advance Salary,,,bablu feb''25," 3,000 "
17-03-2025,Loan A/C Chairman,," 629,280 ",17-03-25,Fabric- Purchase,Tahera Knit Fabric,ADL,TT oder fabric," 400,000 "
17-03-2025,Loan A/C Chairman by Bashar,, 600 ,17-03-25,Fabric- Purchase,Ma Traders,Wear Vibes,TT oder fabric," 200,000 "
,,,,17-03-25,Tiffin Bill,,,"sample(6), Staff(4), ADLqc(2) Iftari", 700 
,,,,17-03-25,Carriage Bill,,,Loader bill Machine tranfer, 300 
,,,,17-03-25,Advance Salary,,,omor faruk feb''25," 17,000 "
,,,,17-03-25,Advance Salary,,,chonchol(qc) feb'25," 6,000 "
,,,,17-03-25,Electric Item,,,9inch fan 4pcs," 4,860 "
,,,,17-03-25,Factory Maintance,,,Scissores sharpness, 420 
,,,,17-03-25,Internet bill,,,feb''25, 600 
18-03-2025,Loan A/C Chairman,," 2,440 ",18-03-25,Entertainment Bill,,,mega trust international factory visit, 440 
,,,,18-03-25,Carriage Bill,Babul Enterprise,,covervan bill for machine ," 2,000 "
20-03-2025,Loan A/C Chairman,," 131,331 ",20-03-25,Convence,,,18 mar- 17 mar," 1,440 "
,,,,20-03-25,Accessories Bill,Zahid Printing & Accessories,ADL,tt order," 50,000 "
,,,,20-03-25,Carriage Bill,,,loader bill fabric unloading, 750 
